point,worker,worker_local_index,Mh,MH,MA,MHc,tanb,sinbma,mu212,alpha_mix,beta_mix,lam1,lam2,lam3,lam4,lam5,m11sq,m22sq,BFB_allowed,perturbative_allowed,unitarity_allowed,max_abs_unitarity_eigenvalue,scan_row,point_id,S,T,U,chi2_STU,STU_allowed,HB_allowed,HS_chi2,HS_allowed,combined_allowed,status,mapped_decay_count,unmapped_decay_count,error,lambda_source,lambda_max_diff,n_phases,n_raw_transitions,n_paths,path_index,PT_type,path_quality,phase_sequence,n_steps,step,transition_id,transition_key,subcritical,path_transition_T,Tc,gamma_Tc,vfalse_Tc,vtrue_Tc,delta_phi_Tc,vtrue_over_Tc,delta_phi_over_Tc,false_h1_Tc,false_h2_Tc,true_h1_Tc,true_h2_Tc,Tn,S3_over_Tn,nucleation_residual,alpha,beta_over_H,vfalse_Tn,vtrue_Tn,delta_phi_Tn,vtrue_over_Tn,delta_phi_over_Tn,false_h1_Tn,false_h2_Tn,true_h1_Tn,true_h2_Tn,wrapper_status
714,0,714,97.104500643,125,400.647494554,395.22905546,9.77653525059,0.276031538972,840.203869946,1.1892023228,1.4688650957534886,3.3103805458,0.245115519019,5.37486927431,-2.37281667744,-2.51533794828,-7397.362707068087,-7406.455730902903,1,1,1,14.889052897421307,714,714,-0.0170805,-0.0238434,-0.000262542,2.5869505975917737,True,True,165.91092216880435,,True,NUCLEATED,40,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,86.047392454,86.047392454,2.45902006977,1.86340512103e-05,211.592253508,211.592264996,2.45901993626,2.45902006977,1.60160396185e-05,9.52440756411e-06,-26.970603705,-209.866310494,57.2379041248,140.020491359,0.0204913590253,0.122324584201,164.826231315,1.46705964333e-05,238.063122263,238.063133955,4.15918657231,4.15918677658,-7.5548504081e-06,1.25757956019e-05,-25.5535334497,-236.687699532,OK
832,0,832,98.4822881847,125,409.115268193,408.778838423,10.6981680997,0.222499869647,929.667264346,1.25321533106,1.4775932003515542,0.631291717898,0.249370956979,5.67023272793,-2.59092369747,-2.60001762062,-4596.499910062212,-7518.825602519707,1,1,1,10.089270569536222,832,832,-0.0178591,-0.00155118,-1.65264e-05,0.7064906823068624,True,True,165.7429518978452,,True,NUCLEATED,38,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,82.6696511127,82.6696511127,2.66809970476,9.84321712819e-06,220.5708809,220.570871726,2.66809981573,2.66809970476,-2.49743151655e-06,9.52112174341e-06,25.1524320616,219.132080405,48.1886512027,139.877304008,-0.122695991662,0.24791980339,167.940127853,1.97610421892e-05,242.463047407,242.463028257,5.03153836756,5.03153797016,6.67832849827e-06,1.85983525311e-05,23.1160153891,241.35861118,OK
1657,0,1657,114.862774326,125,431.52215829,423.047740529,21.5289509916,0.204896934104,591.953985912,1.31802220087,1.5243806069792916,4.61602446579,0.255779398549,5.91364857303,-2.62667334867,-2.86601442633,-266.5566783232007,-7722.637504747698,1,1,1,18.596101901160125,1657,1657,-0.0171854,-0.0407752,-0.000392291,4.925341972746808,True,True,165.3915939399373,,True,NUCLEATED,40,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,81.9137049346,81.9137049346,2.59154062637,7.61864887809e-06,212.282686588,212.282694195,2.59154053351,2.59154062637,-4.39835693181e-08,7.61852191526e-06,-10.6974950858,-212.012977489,53.8098548631,139.977954484,-0.0220455159883,0.144831587111,212.858847154,3.12181123854e-06,237.595846048,237.595848848,4.4154708585,4.41547091052,-1.24687073406e-06,2.86199559427e-06,-11.3069878046,-237.326648496,OK
1983,0,1983,57.422166888,125,449.21320574,439.090771104,8.2643579116,-0.276308081077,340.606579794,1.73033070491,1.450380199609033,0.908687223443,0.256069420945,6.05678311182,-2.99016454696,-3.28733550813,9000.220927848373,-7498.75738093962,1,1,1,10.922904996684716,1983,1983,-0.0172437,-0.0510859,-0.000457094,6.747478479594826,True,True,166.20632661733518,,True,NUCLEATED,40,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,79.1444838886,79.1444838886,2.76656389636,2.68620835146e-06,218.95827388,218.958271722,2.76656392362,2.76656389636,-1.44668307303e-06,2.26336550156e-06,15.131384979,218.434811532,49.4277762428,139.977691932,-0.0223080684505,0.188361084644,199.065238901,1.45302572503e-05,240.386776127,240.386790149,4.86339452024,4.86339480393,-5.25142605396e-06,-1.3548095813e-05,25.0995579963,239.072822221,OK
2343,0,2343,68.1327928833,125,412.251923068,423.885428885,6.27797833976,-0.100341924861,557.523412827,1.51334747133,1.4128363968080524,0.786787182477,0.262629002532,5.94589017954,-3.07054563185,-2.74907003044,-815.2329799173203,-7755.730928841785,1,1,1,10.43032838297829,2343,2343,-0.0193694,0.0564634,0.000559118,2.75491427273993,True,True,166.2558963164921,,True,NUCLEATED,39,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,83.2614304514,83.2614304514,2.64000367929,1.633116363e-05,219.810466626,219.810482734,2.64000348582,2.64000367929,5.06816586361e-06,1.55248381727e-05,-32.8591045878,-217.340563366,55.9659494001,139.967825245,-0.0321747549411,0.132047396381,298.201046859,2.27204267798e-05,239.820325621,239.820302928,4.28511136131,4.28511095584,-4.60353592399e-06,-2.22491629068e-05,-36.9035879271,-236.963950378,OK
3548,0,3548,107.414611006,125,415.151398328,422.322969333,8.56915866676,0.276397498269,1396.21610874,1.17458066506,1.4546242109053835,0.224145078768,0.248787123631,5.90298677828,-2.84611284489,-2.64761965657,-343.5666518948983,-7430.099989365173,1,1,1,9.669335258779899,3548,3548,-0.0188621,0.0345939,0.000342482,0.8139316960215149,True,True,165.7643681394148,,True,NUCLEATED,39,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,82.8589008397,82.8589008397,2.66260664099,1.42494194754e-05,220.620667305,220.620659641,2.66260673348,2.66260664099,1.08892136192e-05,-9.19080965647e-06,-29.2859332674,-218.668271486,55.3936963486,139.999740956,-0.000259044400877,0.137339059713,295.928795279,1.76173801031e-05,240.357462584,240.357478156,4.33907607593,4.33907635704,-6.32738812098e-06,1.64419050375e-05,-28.6148126924,-238.648072094,OK
4975,0,4975,104.271778692,125,422.825100959,422.831592324,2.31916241845,-0.0403571251479,2618.21662181,1.20406235656,1.16369426845071,0.570389475554,0.27210327745,5.86203983892,-2.83546543249,-2.83528401051,-1514.3418707496057,-6720.996614002036,1,1,1,10.163607453177882,4975,4975,-0.0180897,3.1294e-05,4.3456e-07,0.6220052177961914,True,True,176.01766509771304,,True,NUCLEATED,38,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,82.7295864408,82.7295864408,2.66759514303,1.03621482263e-05,220.689050428,220.689042974,2.66759523313,2.66759514303,-3.45526611234e-06,9.76909678307e-06,91.5960949743,200.782998195,52.7774785563,139.995789155,-0.00421084508375,0.167919134066,221.062186662,1.91497305739e-05,241.004389771,241.00440766,4.56642485324,4.56642519219,-8.51789512783e-07,-1.91307771844e-05,95.9417240912,221.084376353,OK
6215,0,6215,119.831679482,125,406.163024609,418.618217899,2.00427213973,-0.251664834253,2036.78526808,1.36240175919,1.1080016879302326,0.856539527236,0.300379652847,5.71791047953,-2.98128640812,-2.64177917707,-3381.299189550352,-6833.092506682641,1,1,1,10.230972365422474,6215,6215,-0.0194041,0.0594872,0.00060368,3.1338438931810906,True,True,181.09795897054423,,True,NUCLEATED,40,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,83.766739333,83.766739333,2.61963516166,4.90019112594e-06,219.438290886,219.438295734,2.61963510379,2.61963516166,-2.87410519071e-06,-3.96880239159e-06,101.437927295,194.585483562,55.8585180554,139.987246115,-0.0127538854026,0.13600106475,273.580017409,4.90019112594e-06,240.010711594,240.010716431,4.29676117358,4.29676126016,-2.87410519071e-06,-3.96880239159e-06,107.68766516,214.49594041,OK
10004,0,10004,87.6488745295,125,409.477971162,417.94733749,6.08753268074,-0.101825935322,294.482419277,1.50998300818,1.407980282680419,3.72240908097,0.263844704408,5.79237253769,-2.97188675617,-2.74028625223,-3529.7393561669546,-7789.031563749868,1,1,1,16.03398561346887,10004,10004,-0.0189538,0.0403172,0.000407685,1.1851325333731426,True,True,166.4468633432049,,True,NUCLEATED,39,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,83.6425836067,83.6425836067,2.55121323051,1.60107852608e-05,213.39008193,213.390065932,2.55121342178,2.55121323051,2.94083358971e-06,1.57383843664e-05,30.7431253452,211.163887324,57.928601675,139.968221922,-0.0317780778067,0.110680049361,291.20091624,1.60107852608e-05,236.950698547,236.950682542,4.09039216718,4.09039189089,2.94083358971e-06,1.57383843664e-05,37.5069787023,233.963373396,OK
10246,0,10246,85.9052789572,125,549.409667425,123.013089307,4.37062663346,-0.0875371247201,1037.8924,1.43351711816,1.3458678103538684,0.995847723631,0.264897923068,0.506175003429,4.56673032708,-4.90906987513,-1673.4338480160786,-7625.692693232657,1,1,1,24.366845282993182,10246,10246,0.0569736,0.0115693,-0.000274251,6.417497856372887,True,True,172.20215031559266,,True,NUCLEATED,38,8,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,85.064832652,85.064832652,2.58654226937,1.60035007969e-05,220.023797798,220.023785291,2.5865424164,2.58654226937,-6.90565665729e-06,1.44368952302e-05,49.638168148,214.351402749,58.4392037187,139.996997905,-0.00300209509084,0.111619918013,183.733260626,1.5984618335e-05,239.692106897,239.692122376,4.10156353345,4.10156379832,-7.33714730331e-06,-1.42012074404e-05,53.4077082245,233.666263741,OK
