point,alpha,beta_over_H,vtrue_over_Tc,MHc,Tc
714,0.122324584201,164.826231315,2.45901993626,395.22905546,86.047392454
832,0.24791980339,167.940127853,2.66809981573,408.778838423,82.6696511127
1657,0.144831587111,212.858847154,2.59154053351,423.047740529,81.9137049346
1983,0.188361084644,199.065238901,2.76656392362,439.090771104,79.1444838886
2343,0.132047396381,298.201046859,2.64000348582,423.885428885,83.2614304514
3548,0.137339059713,295.928795279,2.66260673348,422.322969333,82.8589008397
4975,0.167919134066,221.062186662,2.66759523313,422.831592324,82.7295864408
6215,0.13600106475,273.580017409,2.61963510379,418.618217899,83.766739333
10004,0.110680049361,291.20091624,2.55121342178,417.94733749,83.6425836067
10246,0.111619918013,183.733260626,2.5865424164,123.013089307,85.064832652
10320,0.133758670984,295.415414071,2.65721936582,433.952138029,82.4771253714
10758,0.165452921164,104.300489127,2.51857530066,412.054419213,83.1576054927
10800,0.183718078246,95.6063034499,2.56506380947,423.764016174,81.1997745905
14545,0.0945318372067,291.116384276,2.6074913309,436.907029527,81.8476825638
14781,0.11083408521,298.25711345,2.47165676462,394.646971229,86.880848464
15199,0.291381735506,90.4970642785,2.68790785916,400.192194749,81.3718643694
18447,0.105933375572,294.24747381,2.57940858548,433.500223832,82.5909889962
19209,0.132224071218,282.983116234,2.50903114253,400.45473596,85.8669750408
19210,0.228752804249,233.655068874,2.79887284851,123.9056222,77.5792306223
21347,0.132693393986,221.069964892,2.60577083971,429.18569051,80.2293239071
24723,0.191973117002,191.899331108,2.8946569629,417.18703166,77.0846877132
24776,0.163050549584,197.470169677,2.5847670349,408.291752947,84.5569443992
26191,0.140882514445,247.327142241,2.65846609284,439.094182902,79.3799957497
27255,0.134306144542,296.102096611,2.64268464342,419.919504595,83.3573072132
27313,0.130723823286,250.137422313,2.5916539585,421.871784231,81.7774884195
29501,0.188432789686,95.7483610941,2.68665256475,118.048637522,82.3954542982
29544,0.128314986525,280.126302341,2.65204009092,107.704645121,81.686374996
30782,0.178372852807,198.550336457,2.58350461476,122.338735733,84.0807169096
31065,0.290280041553,173.906129106,2.72866909996,110.022934989,81.1626827486
31976,0.277892717876,163.824124496,2.68987593685,116.452819691,82.3039412174
32052,0.184536101014,256.18547198,2.64886998181,403.745201525,83.8554862761
32693,0.336222213648,195.916435413,2.7083373323,414.456762573,81.9549924586
33475,0.273045501271,113.116232239,2.68422479825,392.669493965,81.6801811255
34017,0.263003255387,134.825204671,2.72031447547,119.141580133,78.7541827292
34840,0.201417354271,181.006969561,2.83863789401,419.139898888,78.0253898914
36204,0.162876792096,292.553759648,2.61873010169,118.130886613,82.1282546465
40195,0.186292842573,170.748127735,2.65058675641,110.984353176,83.414867827
40307,0.218053389931,203.468422283,2.54596921227,396.90509739,84.6396453991
40870,0.155208655178,278.3176632,2.64830819583,112.400886812,83.3660841375
41482,0.199844553341,204.225033203,2.60017128766,114.291450011,83.3522402228
42401,0.34513383617,119.615870746,2.76076516653,431.236267884,80.2211725584
47895,0.26402522337,144.689219007,2.82568370607,433.079181965,76.1211462169
49511,0.222343702702,191.090146056,2.64047956529,408.889818019,83.5562651303
50302,0.261348285868,173.991212161,2.80840806994,457.894276357,77.1438436808
51127,0.124266921208,248.624089351,2.5535936825,118.524231633,84.0191499067
52519,0.299360988181,83.5340458575,2.48859732022,394.993959275,84.0908519506
54233,0.245119209991,187.215988951,2.79030951213,429.224168416,79.879018873
54686,0.314876089648,73.0100791996,2.69986682932,374.623818409,79.7839684775
57341,0.161427371387,203.593202759,2.85083059088,425.847290679,77.4420620745
57484,0.224198735186,147.864459922,2.73056469603,430.611103802,81.2312123679
59086,0.164707638903,215.381661889,2.64714687655,435.422054259,79.5066463491
59825,0.314290994255,82.1946158773,2.70827490689,419.268522041,81.4481425626
59876,0.271848902045,161.417787169,2.83450453469,421.894095329,78.013424425
69556,0.17711188401,157.203729251,2.6221504048,408.196774539,83.3395452493
69978,0.416849968582,192.155563743,2.77776620708,426.043290924,77.7235473344
70755,0.147462007104,255.280058663,2.66924568583,114.412555269,82.705929806
71882,0.16861989381,212.99386504,2.65834654886,421.833702089,82.9766712408
72440,0.146822382871,286.055553277,2.81937882031,441.797641158,77.1268666408
73625,0.139216728318,182.189865844,2.51435530224,119.698862333,85.1079769301
73941,0.208682600397,130.493313937,2.64779045527,423.41190055,82.2990457208
74099,0.053572861799,75.7481411155,2.25636205024,119.530328107,90.2001977938
75850,0.165877163233,246.20647386,2.58856503793,408.01269526,83.9852001614
78081,0.168054808862,237.324879391,2.58979267471,401.342575743,84.5113841603
80432,0.240459726316,160.291162247,2.48778679311,411.514226606,109.312457586
80454,0.226760526926,234.47629652,2.65340481574,108.551298308,82.7109840294
83150,0.122965743259,183.860803296,2.57601739437,121.796043459,83.5340868535
83742,0.292154104627,181.618001911,2.60861878768,119.060579835,83.5033595705
83902,0.138849148528,224.212751407,2.30715391685,385.291267171,88.2551727577
85669,0.122024038293,221.086311703,2.53984837613,398.488798601,84.6848819265
86139,0.0724032839441,268.850414804,2.29254452922,379.170629476,89.1412894321
86856,0.157653746927,243.483797289,2.69233484804,436.814277244,82.0107196038
90438,0.199754486906,219.611757897,2.55709620979,403.57755487,84.5154858792
93837,0.199866698086,197.981308484,2.59506219887,111.327080281,83.6677753872
94436,0.155802400679,253.61741237,2.54394019786,385.943316853,83.5921893094
97218,0.157553465339,250.50216662,2.69908412239,105.187214529,81.6081838936
107062,0.198887924404,171.170995438,2.57675405261,393.200143368,83.8439318886
114985,0.15395327497,244.51028769,2.67847235542,121.989825644,83.1475593724
116440,0.141132598461,224.325238787,2.64669546596,417.224833633,81.7996426278
120360,0.257017277155,151.217966521,2.62113313468,408.441244203,82.7270808108
122020,0.117972243666,280.233146147,2.61038483778,121.688259152,81.6136933988
123060,0.129282513879,299.3562512,2.63911190224,106.82474373,83.0375241333
123959,0.144747579586,220.709678173,2.11494787603,428.007961736,89.5654608076
125648,0.300111806819,193.587039703,2.75980230166,120.960181056,80.7300705262
125752,0.165836411714,222.891865945,2.73027469335,450.79598695,77.6604098967
128097,0.255425796074,120.199365031,2.72397163073,116.164446931,81.8022407587
131572,0.134751758426,278.835355324,2.6210767172,421.392611078,83.6251910674
132414,0.325035801218,215.977257002,2.72030954204,429.30499585,80.9073783787
132471,0.132492141172,261.918282414,2.5427347816,404.955070935,84.6984406429
134318,0.203984003112,70.3832087604,2.56750111753,422.329628783,81.6078811993
134476,0.191629131804,168.880802893,2.57519128641,402.224839277,84.2704524595
138338,0.380713551459,98.3226075382,2.88633080038,120.360125118,77.1986466465
138380,0.33701383976,231.275235732,3.6856151361,412.077906843,58.6285116792
139185,0.000900760185649,8.04766836397,1.15401751413,119.175253111,74.2199788275
140874,0.15942034245,221.038925143,2.70573628086,441.078361536,81.8084451954
141653,0.312363737804,89.9767263828,2.68751301871,117.330901366,82.0100250067
143198,0.14148973594,271.705173578,2.66512618565,428.744897638,82.4601483889
143459,0.165028982611,228.329487397,2.64458057674,407.821550619,82.3571297201
147311,0.275174439739,154.143251971,2.68556741507,122.007897765,81.3672100537
149991,0.168474187761,225.969491017,2.70562625548,440.414057237,81.818999856
151407,0.322964217105,278.216131261,2.68376467426,122.371808898,81.863863256
152941,0.157698547308,256.574160299,2.80443258146,464.149750277,75.4218172873
153669,0.385369761677,120.741291083,2.70514373798,401.230967277,81.5283517397
155003,0.150170658907,251.690627605,2.56549171383,123.634722026,84.3229805956
156259,0.240615175953,106.340872012,2.86059075143,424.36989416,75.5077539448
157453,0.150510658929,239.346535576,2.588499316,109.735570767,85.0265667679
159790,0.108096038564,258.858062448,2.58631863522,412.745316011,84.4089955539
160519,0.133758471825,226.626819534,2.45921452552,390.591128348,86.7389829605
163197,0.185846342926,264.083431164,2.67960300227,423.824916271,82.0244786931
165173,0.168065497133,231.347206436,2.74370663392,113.879650112,78.8792825594
166639,0.180105924143,186.373661428,2.61417893059,108.220717696,84.1376096692
169697,0.157223639423,210.516620912,2.60173269732,111.925760743,83.994626158
172201,0.203262113886,109.887183463,2.62480346059,109.828528741,82.3851476922
175304,0.221846928843,193.663672233,2.59330203467,411.065384092,83.8789204051
180983,0.186605727426,157.201307973,2.60140078686,107.228485835,84.2223086481
181195,0.101387604479,256.763648338,2.36017415671,395.113770619,88.4375375147
182572,0.0961519207041,270.477909068,2.45006943149,122.884219084,86.6874683253
183936,0.225726110736,272.169453925,2.97994542691,116.344796844,75.153321668
188284,0.310505948273,134.566332202,3.03458911136,405.462169014,67.0409657114
188629,0.123428863611,299.224556044,2.47832415997,394.263867662,86.2938027003
190606,0.157590768588,240.89030235,2.6493909593,109.196163675,83.9840694248
191425,0.206198965462,182.602753903,2.67493573612,117.180823783,82.8166142151
195258,0.123360825776,299.012970978,2.6032024058,123.140430545,84.2530465735
196606,0.318162007435,3.68163479978,2.75168415159,118.215982729,80.4313377429
196984,0.123197943194,280.9426156,2.60877243157,123.319110538,83.829458507
199197,0.0745094233145,296.082404031,2.39373329308,401.894558809,87.4771729149
200962,0.394682919454,179.555761817,2.66445775575,117.245134111,82.8647656618
205187,0.188863791647,178.733815549,2.63615861775,106.126761703,82.8798855262
206952,0.23312442714,134.712135061,2.75834388111,428.432609443,80.6838368018
208141,0.502494919077,58.2306751014,2.83082249054,401.476159769,77.8806933002
208537,0.103585451222,295.069672644,2.54140329544,418.122661206,82.0207236693
209561,0.245474455799,120.727447885,2.68810654802,121.147001517,82.380467215
210736,0.348414534058,180.752405033,2.73079088099,424.739728172,81.3475405505
211133,0.492082528179,60.0120205324,2.77378453095,124.605204556,80.7120700829
211260,0.281974407439,67.8969059642,2.74514495074,106.665218498,78.5264089845
212797,0.593602531699,129.022555728,2.70088478787,410.080341854,82.2484906851
213033,0.140169265979,298.724939535,2.58762918598,419.601856642,106.083609539
217308,0.154665480787,217.991998001,2.64107252324,120.250222444,83.7240907391
218940,0.116456710411,289.636519917,2.3889959307,122.66720824,86.3931872976
219861,0.198815622459,172.863249302,2.72855103203,425.397445467,81.3940659781
220661,0.197222684178,232.372512077,2.78482338883,115.549431331,79.8157266064
224822,0.25158323191,204.303524239,2.56106823147,389.937284102,83.3612342845
225306,0.337920365339,143.627797355,2.8240750565,118.859890899,78.250983452
226597,0.300690386765,183.057679037,2.83491796989,109.026912815,79.7125976161
235676,0.19134986271,133.48843843,2.63148380379,422.329189347,81.4496115692
237211,0.257484461797,188.713842074,2.61458762217,407.261715054,83.5543940712
241039,0.1953792485,185.677213392,2.70523301942,434.218922865,81.9185085545
244650,0.214341677501,159.815473835,2.71409331279,429.124346879,81.3371831949
245418,0.203099086577,231.783847345,2.71196799082,122.386490039,82.4258661305
245842,0.19327782185,71.5646426717,2.35248114235,392.940038036,86.9587947727
246021,0.213118795516,231.402864739,2.6395803683,114.991350932,83.5383082921
246300,0.194991806909,42.3018073949,2.54479074546,414.19985684,84.1533656298
249789,0.152057421342,277.729896283,2.62753421628,399.373986501,81.2179786696
256155,0.61748558882,36.4486908561,2.70541633732,116.545466912,82.2979410004
258735,0.241968554637,208.821183157,3.34297783442,279.205944635,361.117712131
260813,0.282688779794,106.217902966,2.67198561751,425.671174598,80.7367291091
263284,0.133591280662,271.441775718,2.52866638607,122.191395664,85.3189543672
263908,0.347613470738,93.330087132,2.64567743036,412.997443121,82.8676484559
266253,0.101362861476,277.137092973,2.29819542641,391.613067726,88.982160134
266458,0.170429426448,208.75631805,2.83651493409,107.356924335,78.0669038084
266495,0.361063800357,47.7595013356,2.49919553089,381.69739314,83.9285340594
267921,0.298472546678,50.5510560527,2.64028838161,389.051600563,81.6098608025
269050,0.214469288657,246.244504241,2.62963301575,121.055992372,83.6282485734
272314,0.321234766184,198.148271606,2.7955780139,410.726426713,80.2139812848
272365,0.151809862476,291.585258432,2.80319154177,422.388816662,78.7549821871
273285,0.122770161073,254.899405846,2.57080507778,411.086758435,85.0101108713
276246,0.144641906046,240.926459357,2.5212384633,116.749769883,78.9504890345
281263,0.434059248657,121.522230212,2.61402593606,395.704404824,82.8324056056
283534,0.322591678546,297.646663639,2.7899891656,105.887859732,78.2823278607
286544,0.166032966209,291.65717665,2.64780061871,109.770855478,82.8712843775
288280,0.586342732974,31.1301186173,2.79467755056,398.49991848,79.3166437432
288929,0.205150077044,87.7726323337,2.63712299599,397.162212415,82.9389229294
291557,0.129208761866,275.713642972,2.59230886282,111.644815833,84.3356517735
293751,0.0524029437579,290.106599581,2.04609343746,424.566934763,107.774055583
294068,0.373676583379,162.341330814,2.61217201875,383.120212893,82.5567447484
294151,0.330730103372,167.708647718,2.63672045938,411.222204383,82.871564413
294767,0.145866773044,207.489714474,2.58447824892,121.765722141,84.6747951139
296118,0.101709459168,208.099071942,2.44271986578,391.389541639,85.8689044879
297832,0.0590491179927,295.011468904,2.32046680882,372.894123624,131.37632279
298678,0.297522387542,95.2185124584,2.67814159651,123.724768803,82.644715119
300583,0.130999666023,264.68127171,2.59714920343,421.887429573,83.6475283759
300753,0.116021522149,280.989743522,2.57097731469,406.716571572,85.1674215868
300767,0.249604396634,188.651173971,2.64147056255,111.644856892,83.2075941747
303628,0.337476051501,210.625157373,2.7167495687,431.596280601,80.4162955036
305778,0.119483385103,290.443583707,2.44305658792,397.107468824,86.5649796179
307237,0.131141486123,69.4664266748,2.28475776624,413.491573524,124.054793134
308189,0.405024909938,64.8170832558,2.82733455074,434.389894157,78.9209331169
308212,0.266185989951,133.181101952,2.73495050312,111.883510718,79.3801528625
309207,0.123317184412,222.142861524,2.54903693076,412.837182217,84.5061199373
309238,0.357233752793,98.6656405781,2.70915329401,105.741412922,81.490860981
309313,0.301608091438,107.661068325,2.73384256446,428.911994506,80.9221856764
311007,0.164244191283,222.249887878,2.66705074776,424.306686843,82.5953670524
313194,0.185889165741,226.197377948,2.64464024364,117.693828867,84.1587385784
313534,0.122842659944,269.257702023,2.54201063152,410.204801982,85.5842637447
314017,0.1653622091,185.006862236,2.62306848398,430.262472349,80.2175624035
316323,0.16717241118,179.790492279,2.60495340575,107.991144985,84.3966728537
318931,0.127194890233,262.743936058,2.53770328114,408.109604211,84.1984881642
319330,0.263833464479,73.7131258296,2.68583608522,421.104894018,82.5419548632
321644,0.165666655607,202.693253848,2.64467578286,423.095749449,81.5548355014
325537,0.145255462503,248.75215388,2.66317981931,121.350008879,82.1010785632
326115,0.148790355819,279.296836763,2.70614958514,436.293549154,81.5632023069
326453,0.120470070735,225.17795363,2.54467455982,109.300766373,85.0254957899
326493,0.158059133389,231.379821066,2.69890912521,457.963078495,79.0947087999
329237,0.123997662362,268.185411707,2.58572009591,413.918312218,82.8428333965
332027,0.295627501965,175.720572572,2.72640273548,415.974184607,81.2966776226
332726,0.15324631996,111.034065799,2.16582323091,420.050725083,109.598298447
335388,0.245896590555,102.06254691,2.76111416275,105.182081242,79.4442801092
336825,0.136001781011,235.94746071,2.6068576396,117.539029484,84.72952163
339469,0.317992890895,284.519102627,2.66123291789,111.826142944,82.8199834663
339779,0.242388740495,170.876756916,2.61704472762,412.746089761,82.9592082203
340627,0.291834651744,173.43610718,2.76542670146,414.057183943,81.2310441086
343049,0.0890752977864,250.609727923,2.42552390016,122.565982535,86.3202203652
346554,0.236067472354,107.885122024,2.59500194637,404.397975734,83.8017694849
346658,0.155632120272,238.125916397,2.64596591355,424.924744157,82.8430847569
346668,0.161953370097,249.94463496,2.72332062868,427.537905128,80.9747403567
350042,0.183091582382,199.936381356,2.6868682246,117.422467221,82.8747064243
351237,0.123963616664,252.280588305,2.56226486659,119.794821206,85.4878042898
351408,0.145699711943,279.617617396,2.75410964188,439.215583743,79.5212994839
352016,0.273282343892,142.560088367,2.61062200043,384.235225326,82.3258165939
354425,0.136612722328,243.744128359,2.62583603104,120.228738179,82.4686576287
354682,0.157237164896,196.195308837,2.62906554106,423.59878805,82.3679990313
355525,0.152882517604,155.713647254,2.54076372821,413.098992772,84.3773588074
356669,0.255900428249,154.679866494,2.81342646906,451.994992532,77.4078349218
358877,0.141158043939,274.587418908,2.56597668617,410.396947098,84.7894007383
359425,0.19643151734,210.028108128,2.62300747256,121.655707805,83.5489197757
359704,0.107201715646,60.4912764415,2.43595068986,403.865886665,85.6734438434
360725,0.194812967499,238.616285899,2.61140064854,406.801989426,84.0919631028
361180,0.154030900812,256.005903649,2.6456613717,424.567939045,83.2148260233
361720,0.291429992691,228.776956569,2.6593031522,408.923206256,82.9272306653
362821,0.153946718607,279.293081085,2.518078004,115.14412068,84.7743263355
365755,0.234963716541,104.942571963,2.75336566743,413.728928172,80.5796547273
365886,0.172752633862,227.545241268,2.71360006987,419.375159522,82.0723144759
366928,0.154158539547,251.298236127,2.67188221694,432.445697526,82.0210517896
369215,0.131236260531,270.187271533,2.65200137263,106.482815999,83.331147435
370155,0.273779480772,44.5934035618,2.5974561876,408.305614662,83.4560703864
370853,0.297620045464,208.116384158,2.49676000714,110.959052856,84.088085049
372436,0.140979719654,299.979579242,2.60457407266,114.184540559,84.5669508347
373597,0.136783066699,205.604431266,2.62175823576,118.836814097,84.4880135483
373765,0.194727175217,209.647613641,2.65856929216,112.898174451,84.0659054047
375590,0.149852279634,177.447504214,2.55243161752,400.014366056,83.7368973221
378143,0.400706708147,220.18405592,2.45436638363,403.227498046,84.7520005586
378526,0.234274449828,184.147866624,2.69126332988,408.213963405,81.8657208047
378737,0.225606837466,174.267086718,2.64069896574,105.573182352,82.7901177867
381519,0.377771691177,161.893177263,2.67819550805,412.030673925,82.4119847063
382223,0.435399689717,55.5793081571,2.7903971049,428.710216396,79.8624284582
383156,0.179124584624,212.68724027,2.68411854332,429.199703227,82.1442556829
383722,0.261277976533,85.6234393699,2.64363351034,411.81288381,83.2513576962
385596,0.0771263545013,225.628577665,2.4382606449,395.320962208,87.920724472
389557,0.344377970634,132.72963248,2.66380234972,410.187571044,82.833788076
394111,0.184947004733,274.132740882,2.79784486505,123.571720073,79.7000512329
396569,0.122888122016,84.8006879481,2.18486658037,427.770141295,113.726237779
398409,0.089875983075,282.789813323,2.45879269815,401.841437189,86.9332247355
399648,0.390032679551,241.411004695,2.71312262445,408.237804502,81.8259799958
402520,0.19284791998,214.424248052,2.63181814623,110.983783152,83.8201988921
402908,0.329817632183,104.320114378,2.71768290139,410.065557656,81.342593191
405431,0.355452099697,149.277994111,2.79851088835,111.938499892,79.6916863124
405861,0.244072401963,148.476609802,2.63343565042,406.043718545,83.4859847799
406698,0.170023405782,214.261757176,2.66208143436,436.916535254,79.960199365
414789,0.365454545163,26.8882367339,2.48843442088,412.179765372,83.9836764276
417810,0.151862316246,205.842333218,2.6110033276,411.898599723,84.262015532
419218,0.228092262549,148.58607486,2.73127614004,435.199284778,81.1249690835
422046,0.223244648078,174.63306125,2.84477559963,427.869387569,78.4270638196
422517,0.152895595216,235.684396775,2.51491893386,377.419500195,84.3715839606
422770,0.185858163287,126.373373184,2.61699739285,429.035960872,80.8906885549
423635,0.0621834173942,153.521564762,2.00944726529,446.162336283,124.21045979
423732,0.291956958492,101.892773661,2.81420464185,456.210547688,75.7087178804
424818,0.107011831789,192.819057276,2.49487640391,413.238668117,84.3173971195
426046,0.241185923499,92.5853962379,2.64844844437,416.483433804,82.8417787048
426578,0.228404208029,252.101021147,2.88662852058,113.931504805,75.9263501895
431623,0.21238891101,212.495540204,2.75544914258,122.392856186,80.9667565669
432901,0.175118568237,109.855432494,2.57077518577,117.350348139,82.7658965006
433053,0.159179313124,177.305649535,2.59879546219,415.205332689,82.7794300626
433794,0.154486787156,210.055306847,2.72296832307,432.45502716,77.4372065855
434439,0.161129345105,238.045935133,2.6814213189,119.158805631,82.3893085032
435190,0.435484807339,33.4303074958,2.80519387542,116.510982755,79.4100833192
435986,0.190683056922,218.105763718,2.7021006908,420.35845631,81.5344571623
436673,0.107546917898,256.921357313,2.51312255878,412.932837643,83.0503391834
440224,0.0883876827605,236.620793209,2.45522544996,417.032116696,84.6973864711
441331,0.148375904283,158.501720663,2.51487771175,395.819119646,85.3722743426
442468,0.464268222539,42.4098817827,2.56530502316,389.52130169,83.5435989464
